GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exercice13,com.example.bank.model,Account,0,36,0,0,0,16,0,8,0,8
exercice13,com.example.bank.controller,AccountController,11,52,0,0,4,10,1,6,1,6
exercice13,com.example.bank,BankApplication,5,3,0,0,2,1,1,1,1,1
exercice13,com.example.bank.dto,ErrorResponse,0,9,0,0,0,4,0,2,0,2
exercice13,com.example.bank.dto,AccountResponse,0,31,0,0,0,9,0,5,0,5
exercice13,com.example.bank.dto,AmountRequest,0,10,0,0,0,4,0,3,0,3
exercice13,com.example.bank.dto,CreateAccountRequest,0,17,0,0,0,7,0,5,0,5
exercice13,com.example.bank.dto,TransferRequest,0,24,0,0,0,10,0,7,0,7
exercice13,com.example.bank.service,DefaultAccountService,0,179,0,12,0,38,0,16,0,10
exercice13,com.example.bank.exception,GlobalExceptionHandler,26,12,0,0,6,3,3,2,3,2
exercice13,com.example.bank.exception,InsufficientFundsException,0,4,0,0,0,2,0,1,0,1
exercice13,com.example.bank.exception,InvalidAmountException,0,4,0,0,0,2,0,1,0,1
exercice13,com.example.bank.exception,AccountAlreadyExistsException,0,5,0,0,0,2,0,1,0,1
exercice13,com.example.bank.exception,AccountNotFoundException,0,5,0,0,0,2,0,1,0,1
exercice13,com.example.bank.repository,InMemoryAccountRepository,7,33,0,0,1,8,1,5,1,5
